,author_id,z_score,features,feature_stats,feature_names,author
109,109,"[np.float64(2.7193900801327495), np.float64(2.7193900801327486), np.float64(2.7193900801327486), np.float64(2.646764237572809), np.float64(2.6327812405676703)]","[np.int64(1576), np.int64(413), np.int64(1770), np.int64(19), np.int64(1185)]","[np.float64(0.0023337532939568194), np.float64(0.0015289709637134477), np.float64(0.0015289709637134477), np.float64(0.002660659588340612), np.float64(0.002973497654053325)]","[np.str_('(ADV, <-, PROPN, mark)'), np.str_('(PRON, ->, NOUN, nsubj)'), np.str_('(NOUN, <-, INTJ, conj)'), np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(NOUN, ->, PART, advcl)')]",Uspensky
110,110,"[np.float64(2.224955520108613), np.float64(2.168626614963339), np.float64(2.1661124398966707), np.float64(2.0923545389317235), np.float64(2.026152842086772)]","[np.int64(504), np.int64(1305), np.int64(557), np.int64(1568), np.int64(1086)]","[np.float64(0.000749344708820358), np.float64(0.001475853111073655), np.float64(0.000663706722161962), np.float64(0.0011676680007878452), np.float64(0.000663706722161962)]","[np.str_('(DET, ->, PRON, acl:relcl)'), np.str_('(DET, ->, DET, fixed)'), np.str_('(PRON, <-, NUM, obl)'), np.str_('(ADV, ->, NOUN, compound)'), np.str_('(VERB, ->, ADJ, nsubj)')]",Vainery
111,111,"[np.float64(14.185032756843421), np.float64(13.674790745455587), np.float64(12.237255360597372), np.float64(12.237255360597372), np.float64(12.237255360597372)]","[np.int64(779), np.int64(339), np.int64(797), np.int64(1346), np.int64(1753)]","[np.float64(0.07724523172695284), np.float64(0.08572854450643526), np.float64(0.0038567830035064776), np.float64(0.0009641957508766194), np.float64(0.0009641957508766194)]","[np.str_('(PROPN, ->, ADJ, conj)'), np.str_('(X, ->, PROPN, flat:name)'), np.str_('(ADJ, ->, CCONJ, advmod)'), np.str_('(NOUN, ->, PAD, root)'), np.str_('(PROPN, ->, SYM, cop)')]",vestnik nsu
112,112,"[np.float64(9.717641610064044), np.float64(8.460674691341103), np.float64(4.006205119165866), np.float64(3.9517457506884215), np.float64(3.465110162992531)]","[np.int64(16), np.int64(100), np.int64(200), np.int64(51), np.int64(86)]","[np.float64(0.05828454497694647), np.float64(0.014571136244236617), np.float64(0.004567384837916548), np.float64(0.02841287554169144), np.float64(0.014571136244236617)]","[np.str_('(PRON, ->, ADV, advmod)'), np.str_('(ADJ, <-, NUM, advcl)'), np.str_('(ADV, <-, ADJ, conj)'), np.str_('(ADJ, <-, VERB, nsubj)'), np.str_('(NOUN, <-, VERB, nmod)')]",VestnikRayona
113,113,"[np.float64(24.474510721194743), np.float64(16.729260692287408), np.float64(8.253136068442256), np.float64(8.233910119163347), np.float64(5.36688069401972)]","[np.int64(1742), np.int64(1501), np.int64(195), np.int64(1908), np.int64(1782)]","[np.float64(0.00166721393899264), np.float64(0.00166721393899264), np.float64(0.00166721393899264), np.float64(0.00166721393899264), np.float64(0.00166721393899264)]","[np.str_('(ADV, <-, ADJ, mark)'), np.str_('(ADV, <-, PROPN, discourse)'), np.str_('(PROPN, <-, NOUN, amod)'), np.str_('(VERB, ->, PRON, punct)'), np.str_('(DET, <-, ADV, nsubj)')]",Vladimirova
114,114,"[np.float64(8.158170240398247), np.float64(6.549830599329109), np.float64(4.22748083923177), np.float64(3.2122879092830603), np.float64(3.0897133528551675)]","[np.int64(17), np.int64(1889), np.int64(694), np.int64(1946), np.int64(1792)]","[np.float64(0.001345840523554929), np.float64(0.0010677835238130852), np.float64(0.00119493267435352), np.float64(0.001345840523554929), np.float64(0.002540773197908449)]","[np.str_('(PRON, ->, ADJ, orphan)'), np.str_('(PRON, <-, VERB, obj)'), np.str_('(PRON, ->, ADP, case)'), np.str_('(VERB, ->, ADJ, xcomp)'), np.str_('(CCONJ, <-, ADJ, advmod)')]",Vlasova
115,115,"[np.float64(3.156418293533791), np.float64(2.5555183974888016), np.float64(2.4542512965385117), np.float64(2.447451072119474), np.float64(2.447451072119474)]","[np.int64(739), np.int64(106), np.int64(661), np.int64(1564), np.int64(1001)]","[np.float64(0.007341864073058836), np.float64(0.021858228479556388), np.float64(0.007251936899571324), np.float64(0.00037553555308958707), np.float64(0.00037553555308958707)]","[np.str_('(PRON, <-, NOUN, acl:relcl)'), np.str_('(PART, <-, ADP, fixed)'), np.str_('(NOUN, <-, PRON, parataxis)'), np.str_('(NOUN, ->, ADJ, amod)'), np.str_('(VERB, ->, SCONJ, mark)')]",Voinovich
116,116,"[np.float64(4.079085120199122), np.float64(4.079085120199122), np.float64(4.050759286544418), np.float64(3.707614314303564), np.float64(3.6208731195252857)]","[np.int64(1646), np.int64(797), np.int64(709), np.int64(1215), np.int64(1551)]","[np.float64(0.001359795656254871), np.float64(0.001359795656254871), np.float64(0.001964616902446298), np.float64(0.0012125200548908203), np.float64(0.001964616902446298)]","[np.str_('(VERB, <-, VERB, csubj:pass)'), np.str_('(ADJ, ->, CCONJ, advmod)'), np.str_('(AUX, <-, VERB, conj)'), np.str_('(PAD, ->, VERB, acl)'), np.str_('(NOUN, <-, PAD, conj)')]",Volkov
117,117,"[np.float64(24.116404711470278), np.float64(23.072396693205555), np.float64(18.792721581109717), np.float64(12.929148576865204), np.float64(12.628478037548993)]","[np.int64(462), np.int64(390), np.int64(166), np.int64(475), np.int64(140)]","[np.float64(0.013395367325393316), np.float64(0.013395367325393316), np.float64(0.026790734650786633), np.float64(0.013395367325393316), np.float64(0.026790734650786633)]","[np.str_('(DET, ->, PROPN, obl)'), np.str_('(NOUN, ->, VERB, nmod)'), np.str_('(PAD, ->, NOUN, conj)'), np.str_('(VERB, ->, ADJ, nsubj:pass)'), np.str_('(ADV, <-, ADV, fixed)')]",Vorotyntseva
118,118,"[np.float64(6.519471880192921), np.float64(6.2438578257781225), np.float64(5.557983564635262), np.float64(4.934036415575349), np.float64(3.6451650707258376)]","[np.int64(97), np.int64(39), np.int64(35), np.int64(360), np.int64(51)]","[np.float64(0.026775302199950925), np.float64(0.013387651099975462), np.float64(0.026775302199950925), np.float64(0.013387651099975462), np.float64(0.008329979646782898)]","[np.str_('(PRON, <-, VERB, iobj)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(NOUN, ->, ADV, advmod)'), np.str_('(NOUN, <-, PRON, nmod)'), np.str_('(ADJ, <-, VERB, nsubj)')]",YasenevoMedia
119,119,"[np.float64(2.6658550848493303), np.float64(2.4675210353696357), np.float64(2.0751590459428106), np.float64(1.8220002816450769), np.float64(1.771348992253639)]","[np.int64(658), np.int64(1034), np.int64(734), np.int64(1314), np.int64(1240)]","[np.float64(0.0009227443872433091), np.float64(0.04644179940883804), np.float64(0.0013738106828186793), np.float64(0.0021814417830522434), np.float64(0.0005809894548987234)]","[np.str_('(PAD, ->, NOUN, orphan)'), np.str_('(PART, ->, NOUN, conj)'), np.str_('(DET, ->, PRON, cop)'), np.str_('(ADJ, <-, X, amod)'), np.str_('(NUM, ->, ADJ, nsubj)')]",Zemlyanoj
