,author_id,feature_importance,features,feature_stats,feature_names,author
61,61,"[np.float64(225.84743756538077), np.float64(213.2876892190475), np.float64(199.75188400502853), np.float64(187.45477145806748), np.float64(170.55576680650492)]","[np.int64(417), np.int64(820), np.int64(381), np.int64(51), np.int64(112)]","[np.float64(0.011008603973915074), np.float64(0.016036354238363453), np.float64(0.014659260067588683), np.float64(0.04541121996886928), np.float64(0.017490571996587437)]","[np.str_('(VERB, <-, DET, parataxis)'), np.str_('(ADP, <-, NOUN, parataxis)'), np.str_('(VERB, <-, DET, conj)'), np.str_('(ADJ, <-, VERB, nsubj)'), np.str_('(ADJ, <-, DET, nmod)')]",Kozlov
62,62,"[np.float64(248.99652469774603), np.float64(194.70490642248288), np.float64(186.3144279546624), np.float64(174.17384927617135), np.float64(171.527030209873)]","[np.int64(100), np.int64(701), np.int64(473), np.int64(349), np.int64(1221)]","[np.float64(0.021215148863104053), np.float64(0.007042467337226333), np.float64(0.01804909858648518), np.float64(0.0020936785665615176), np.float64(0.00847689022316118)]","[np.str_('(ADJ, <-, NUM, advcl)'), np.str_('(PROPN, ->, ADP, case)'), np.str_('(VERB, ->, NOUN, det)'), np.str_('(PRON, <-, NUM, conj)'), np.str_('(VERB, ->, DET, obl)')]",Krapivin
63,63,"[np.float64(352.96815599163654), np.float64(342.13211990803455), np.float64(257.593451355229), np.float64(249.27905914310512), np.float64(246.36835742049374)]","[np.int64(375), np.int64(264), np.int64(1792), np.int64(904), np.int64(820)]","[np.float64(0.023982872828165736), np.float64(0.030195480544684506), np.float64(0.006338663433239714), np.float64(0.0452586816563561), np.float64(0.03278630228469764)]","[np.str_('(VERB, <-, INTJ, parataxis)'), np.str_('(PRON, ->, CCONJ, cc)'), np.str_('(CCONJ, <-, ADJ, advmod)'), np.str_('(X, ->, NOUN, parataxis)'), np.str_('(ADP, <-, NOUN, parataxis)')]",Kuprin
64,64,"[np.float64(148.1700637521386), np.float64(128.10305653093965), np.float64(103.49816506170305), np.float64(100.89493323514058), np.float64(89.07668735636194)]","[np.int64(33), np.int64(189), np.int64(73), np.int64(1444), np.int64(1320)]","[np.float64(0.026731434348308755), np.float64(0.024521229709354924), np.float64(0.050235822051952206), np.float64(0.010094995786773293), np.float64(0.008850092285338724)]","[np.str_('(NOUN, ->, VERB, amod)'), np.str_('(PRON, ->, AUX, cop)'), np.str_('(ADV, <-, ADV, ccomp)'), np.str_('(AUX, <-, VERB, xcomp)'), np.str_('(PRON, <-, ADP, fixed)')]",Lermontov
65,65,"[np.float64(228.63810711617768), np.float64(143.11583012880723), np.float64(136.74951387639376), np.float64(85.71042807915708), np.float64(84.40830041576045)]","[np.int64(60), np.int64(1147), np.int64(309), np.int64(666), np.int64(82)]","[np.float64(0.05150925365083846), np.float64(0.011449095355878288), np.float64(0.02716081565252542), np.float64(0.021002564737685192), np.float64(0.07710385224950969)]","[np.str_('(VERB, ->, PRON, amod)'), np.str_('(DET, <-, NOUN, advmod)'), np.str_('(PART, ->, NOUN, fixed)'), np.str_('(PUNCT, <-, ADJ, conj)'), np.str_('(PROPN, ->, SYM, conj)')]",Losev
66,66,"[np.float64(227.2759269747862), np.float64(216.14558559662234), np.float64(119.42556677877008), np.float64(114.20467794755771), np.float64(113.35508543576618)]","[np.int64(19), np.int64(50), np.int64(407), np.int64(1462), np.int64(672)]","[np.float64(0.014894870097985945), np.float64(0.019859826797314597), np.float64(0.012412391748321622), np.float64(0.0024824783496643246), np.float64(0.00926779192489753)]","[np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(VERB, <-, VERB, advcl)'), np.str_('(ADJ, <-, ADV, parataxis)'), np.str_('(ADJ, ->, PRON, conj)'), np.str_('(PART, <-, PROPN, parataxis)')]",Lubimova
67,67,"[np.float64(296.0523810486014), np.float64(274.202322351493), np.float64(239.59816346249013), np.float64(233.46081341451819), np.float64(214.72945397121097)]","[np.int64(94), np.int64(360), np.int64(284), np.int64(603), np.int64(3)]","[np.float64(0.07170953585921833), np.float64(0.02010777111499229), np.float64(0.0108476878033323), np.float64(0.01829132470085955), np.float64(0.031965958890033584)]","[np.str_('(ADJ, ->, PROPN, advcl)'), np.str_('(NOUN, <-, PRON, nmod)'), np.str_('(VERB, ->, VERB, mark)'), np.str_('(ADV, <-, VERB, advcl)'), np.str_('(CCONJ, <-, ADV, root)')]",Lukyanenko
68,68,"[np.float64(132.77311394928657), np.float64(132.3956053459994), np.float64(116.23830806821103), np.float64(114.49212377119694), np.float64(105.23633966803192)]","[np.int64(0), np.int64(334), np.int64(244), np.int64(624), np.int64(103)]","[np.float64(0.07531096017354957), np.float64(0.06966263816053338), np.float64(0.013179418030371178), np.float64(0.009222614868349039), np.float64(0.011296644026032438)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(INTJ, <-, VERB, nsubj)'), np.str_('(PROPN, <-, X, flat:foreign)'), np.str_('(NOUN, ->, ADV, orphan)'), np.str_('(PROPN, <-, ADV, nmod)')]",Lungu
69,69,"[np.float64(112.33006929176076), np.float64(100.01591665454595), np.float64(93.99643925711973), np.float64(88.86939004714846), np.float64(88.08720427138164)]","[np.int64(555), np.int64(922), np.int64(526), np.int64(174), np.int64(801)]","[np.float64(0.04727806942628922), np.float64(0.011676083519877867), np.float64(0.026486278735468632), np.float64(0.017161722468824473), np.float64(0.04036242195599192)]","[np.str_('(NUM, ->, PROPN, conj)'), np.str_('(ADJ, <-, PRON, conj)'), np.str_('(ADJ, <-, ADJ, det)'), np.str_('(ADJ, ->, ADJ, iobj)'), np.str_('(ADP, ->, CCONJ, advmod)')]",Makushinskiyi
70,70,"[np.float64(117.60702531583696), np.float64(102.20480597159602), np.float64(96.31350614617006), np.float64(93.93364802223176), np.float64(92.89058108449237)]","[np.int64(237), np.int64(39), np.int64(1696), np.int64(589), np.int64(1100)]","[np.float64(0.08613300121101776), np.float64(0.058738696078395845), np.float64(0.007677682522054116), np.float64(0.03925785721315958), np.float64(0.024147772355468212)]","[np.str_('(CCONJ, ->, PUNCT, fixed)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(CCONJ, <-, PROPN, conj)'), np.str_('(NOUN, ->, CCONJ, flat:foreign)'), np.str_('(PRON, <-, PRON, nsubj)')]",Malevish
