,author_id,z_score,features,feature_stats,author,feature_names
20,20,"[np.float64(3.5813554737284834), np.float64(3.1942342874064047), np.float64(2.9681699331195692), np.float64(2.8915015831370634), np.float64(2.6307294210805847)]","[242, 1988, 1164, 1607, 1542]","[np.float64(0.012964252112474315), np.float64(0.0006348559490927323), np.float64(0.0020330212738676277), np.float64(0.0010684954439405244), np.float64(0.0011754968377459662)]",Bushkov,"['(ADV, <-, ADV, case)' '(ADJ, ->, ADV, parataxis)'
 '(X, ->, ADJ, acl:relcl)' '(PART, <-, PART, advcl)'
 '(ADJ, ->, NOUN, obl)']"
21,21,"[np.float64(4.10401176878738), np.float64(3.8464501289811146), np.float64(2.8299435661344177), np.float64(2.7987024885767053), np.float64(2.7732269399317415)]","[10, 1087, 186, 258, 61]","[np.float64(0.06008783238691767), np.float64(0.0017192379500038273), np.float64(0.013487638469430128), np.float64(0.0100014692123517), np.float64(0.02729533571842129)]",Bykov,"['(X, <-, PRON, nsubj:pass)' '(NOUN, <-, X, nummod:entity)'
 '(NUM, ->, ADJ, acl:relcl)' '(ADJ, ->, ADV, xcomp)'
 '(PART, <-, PROPN, conj)']"
22,22,"[np.float64(24.325429490217857), np.float64(23.904498304667356), np.float64(21.520310566014114), np.float64(20.985303956638095), np.float64(20.007955577415512)]","[97, 127, 7, 139, 75]","[np.float64(0.01838683727021946), np.float64(0.01838683727021946), np.float64(0.07354734908087784), np.float64(0.01838683727021946), np.float64(0.01838683727021946)]",Chechin,"['(PUNCT, ->, VERB, nmod)' '(PART, <-, NOUN, obj)' '(VERB, <-, PAD, case)'
 '(NUM, ->, NUM, punct)' '(PROPN, <-, DET, fixed)']"
23,23,"[np.float64(6.320221786537797), np.float64(5.715808924628943), np.float64(5.291103437122169), np.float64(5.112082280529207), np.float64(5.069548909591171)]","[34, 5, 7, 22, 1403]","[np.float64(0.059745836568540774), np.float64(0.09748627786298371), np.float64(0.08911558435563419), np.float64(0.06716711968452976), np.float64(0.0021943483176771854)]",Chekhov,"['(NOUN, <-, CCONJ, punct)' '(PAD, <-, NUM, amod)' '(VERB, <-, PAD, case)'
 '(PRON, ->, ADP, mark)' '(NOUN, <-, ADJ, parataxis)']"
24,24,"[np.float64(4.415006595007309), np.float64(4.0790851201991245), np.float64(4.079085120199124), np.float64(4.079085120199124), np.float64(4.079085120199124)]","[51, 1985, 1613, 1634, 1649]","[np.float64(0.02383955768266522), np.float64(0.00026747772174282464), np.float64(0.000521735935205779), np.float64(0.000521735935205779), np.float64(0.000521735935205779)]",Cherkasova,"['(NUM, <-, PART, case)' '(VERB, <-, NOUN, nummod:entity)'
 '(SCONJ, <-, NUM, nummod)' '(ADV, ->, ADV, PAD)' '(NOUN, <-, PART, det)']"
25,25,"[np.float64(12.575282288525036), np.float64(12.541932637047779), np.float64(12.26828354942878), np.float64(12.15584755390419), np.float64(12.065204562773985)]","[80, 426, 1, 69, 763]","[np.float64(0.07771708961602873), np.float64(0.02323779778161437), np.float64(0.6003688156341291), np.float64(0.0843279379131617), np.float64(0.011670728741443703)]",Convlab,"['(ADJ, <-, PART, det)' '(DET, ->, ADV, cop)' '(X, ->, PROPN, mark)'
 '(VERB, ->, X, aux)' '(VERB, ->, X, case)']"
26,26,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736)]","[1128, 1352, 1392, 1415, 1451]","[np.float64(0.0018952101695798261), np.float64(0.0009476050847899131), np.float64(0.0009476050847899131), np.float64(0.0009476050847899131), np.float64(0.0009476050847899131)]",Derevyanko,"['(NOUN, <-, X, nummod:gov)' '(PROPN, ->, SYM, appos)'
 '(INTJ, ->, NOUN, root)' '(PART, ->, VERB, appos)'
 '(VERB, <-, ADV, mark)']"
27,27,"[np.float64(24.47451072119474), np.float64(24.465993758511768), np.float64(24.453354039738382), np.float64(24.43457976065288), np.float64(24.38660931893302)]","[288, 7, 25, 124, 286]","[np.float64(0.01810043793579237), np.float64(0.09050218967896184), np.float64(0.056311700415946686), np.float64(0.01810043793579237), np.float64(0.01810043793579237)]",DoctorPiter,"['(NOUN, <-, PART, iobj)' '(VERB, <-, PAD, case)' '(AUX, <-, PART, cc)'
 '(DET, ->, PAD, ccomp)' '(PRON, <-, PUNCT, advmod)']"
28,28,"[np.float64(3.791654716416054), np.float64(3.6347102136600875), np.float64(3.497884766518599), np.float64(3.0836959984160783), np.float64(3.059313840149342)]","[921, 472, 1074, 942, 1586]","[np.float64(0.0032534521305219517), np.float64(0.008354747405720524), np.float64(0.0024868569448563077), np.float64(0.0031489534400633307), np.float64(0.0010058712286855798)]",Dombrowski,"['(VERB, <-, X, cop)' '(PROPN, ->, NUM, conj)' '(PART, ->, CCONJ, nsubj)'
 '(SCONJ, <-, ADP, fixed)' '(SYM, ->, ADV, parataxis)']"
29,29,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(19.22048086383994), np.float64(16.778789669521327), np.float64(15.849691929406223)]","[1357, 1490, 1481, 1057, 1511]","[np.float64(0.0018055439954597111), np.float64(0.0018055439954597111), np.float64(0.0018055439954597111), np.float64(0.0018055439954597111), np.float64(0.0018055439954597111)]",Doronina,"['(PRON, ->, VERB, obj)' '(PUNCT, <-, SYM, root)' '(INTJ, <-, INTJ, root)'
 '(ADV, ->, INTJ, csubj)' '(PROPN, ->, X, compound)']"
