,author_id,info_gain,features,feature_stats,author,feature_names
31,31,"[np.float64(0.07157535304723628), np.float64(0.07066407438410238), np.float64(0.06833331725270242), np.float64(0.06747446388224199), np.float64(0.06555555533607926)]","[1065, 773, 760, 1013, 1039]","[np.float64(0.00011182430062021849), np.float64(0.00104942252348086), np.float64(0.001207031109279787), np.float64(0.00041572913206182934), np.float64(0.0002747975650080208)]",Dovlatov,"['(ADV, <-, CCONJ, orphan)' '(DET, <-, PRON, cop)'
 '(NOUN, ->, PART, root)' '(NOUN, ->, DET, nsubj)'
 '(ADJ, <-, CCONJ, discourse)']"
32,32,"[np.float64(0.04924165711816697), np.float64(0.04620763445157283), np.float64(0.045307274778469186), np.float64(0.042712499248446445), np.float64(0.04118528226781659)]","[1013, 121, 1141, 1012, 174]","[np.float64(0.002500118858104346), np.float64(0.019327407879397174), np.float64(0.00147254278738064), np.float64(0.0025295404277026886), np.float64(0.015006082585050274)]",Dragunski,"['(NOUN, ->, DET, nsubj)' '(PUNCT, <-, VERB, obl)'
 '(INTJ, ->, INTJ, acl:relcl)' '(DET, <-, X, PAD)'
 '(PROPN, ->, CCONJ, advmod)']"
33,33,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[11, 20, 50, 53, 96]","[np.float64(0.00022435033975447751), np.float64(0.0296440845785171), np.float64(0.003089778433542826), np.float64(0.008190927681558512), np.float64(0.0296440845785171)]",Drobyshevsky Rupasova,"['(AUX, ->, NOUN, ccomp)' '(PRON, ->, NOUN, csubj)'
 '(PROPN, <-, CCONJ, case)' '(ADV, ->, NOUN, obl)' '(ADP, ->, ADV, appos)']"
34,34,"[np.float64(0.07146766846377983), np.float64(0.07146766846377983), np.float64(0.07146766846377983), np.float64(0.07146766846377983), np.float64(0.07146766846377983)]","[8, 17, 19, 34, 65]","[np.float64(0.08496783021030352), np.float64(0.12220033513073514), np.float64(0.014415622181744173), np.float64(0.0421010224146556), np.float64(0.06186025285194951)]",Drobyshevsky,"['(NOUN, <-, DET, PAD)' '(PAD, <-, CCONJ, advmod)'
 '(NOUN, <-, VERB, iobj)' '(NOUN, <-, CCONJ, punct)'
 '(PROPN, ->, PUNCT, flat)']"
35,35,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[24, 126, 300, 316, 320]","[np.float64(0.004389921794617654), np.float64(0.004664986412998274), np.float64(0.004664986412998274), np.float64(0.018659945651993096), np.float64(0.009329972825996548)]",Dubchak,"['(VERB, ->, PART, obl)' '(PROPN, ->, SYM, cc)' '(AUX, <-, NOUN, root)'
 '(AUX, ->, ADV, punct)' '(PART, <-, PART, nsubj)']"
36,36,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[15, 29, 30, 46, 104]","[np.float64(0.03959278076585589), np.float64(0.0005955727376166651), np.float64(0.019796390382927943), np.float64(0.003195643246869303), np.float64(0.001709714470561998)]",EdimDoma,"['(ADJ, ->, INTJ, nummod)' '(DET, ->, SCONJ, acl:relcl)'
 '(NOUN, <-, SCONJ, mark)' '(PART, ->, ADJ, obj)'
 '(PRON, <-, SCONJ, root)']"
37,37,"[np.float64(0.09535263078123479), np.float64(0.09366051502703876), np.float64(0.08571947098705457), np.float64(0.07941143524845429), np.float64(0.07843822308087522)]","[606, 3, 0, 1600, 720]","[np.float64(0.003491139406729088), np.float64(0.07569058447378714), np.float64(0.09652353645529858), np.float64(0.0005079148568154236), np.float64(0.0026961087262560315)]",Efremov,"['(ADJ, ->, X, PAD)' '(X, <-, PROPN, flat)' '(PROPN, ->, ADJ, advcl)'
 '(ADV, ->, PAD, csubj)' '(VERB, <-, ADV, nsubj)']"
38,38,"[np.float64(0.04642298098010589), np.float64(0.043664951433390775), np.float64(0.0425228481222516), np.float64(0.04184819301295839), np.float64(0.041295163705866056)]","[1884, 1130, 93, 348, 1899]","[np.float64(0.0009269520791194256), np.float64(0.0023033162767073954), np.float64(0.025744443722670488), np.float64(0.009888821896207874), np.float64(0.0007684823748243612)]",Epstein,"['(CCONJ, ->, PROPN, iobj)' '(NUM, ->, PART, parataxis)'
 '(SCONJ, <-, PRON, iobj)' '(INTJ, ->, ADJ, nsubj)'
 '(PAD, ->, DET, nsubj)']"
39,39,"[np.float64(0.07355563767471174), np.float64(0.07309336997130078), np.float64(0.05914740714474098), np.float64(0.054791799226842075), np.float64(0.05398438346033285)]","[777, 247, 27, 131, 175]","[np.float64(0.0037949880940380664), np.float64(0.01172266370952643), np.float64(0.042326042959190374), np.float64(0.018165092738903058), np.float64(0.015557542788206686)]",Exler,"['(VERB, <-, ADJ, parataxis)' '(X, <-, PRON, appos)'
 '(VERB, <-, CCONJ, punct)' '(PROPN, <-, VERB, amod)'
 '(NOUN, <-, PART, appos)']"
40,40,"[np.float64(0.05726501065647094), np.float64(0.05596465023018338), np.float64(0.04528997724803452), np.float64(0.04507499045150043), np.float64(0.0447258794296318)]","[63, 1999, 70, 520, 785]","[np.float64(0.027131787014309166), np.float64(0.0006004802595069454), np.float64(0.025574483064977536), np.float64(0.00555632650664972), np.float64(0.0032362401940753687)]",Fadeev,"['(PRON, <-, NUM, det)' '(NOUN, ->, DET, discourse)'
 '(PRON, ->, X, acl:relcl)' '(ADV, ->, NOUN, orphan)'
 '(ADJ, <-, VERB, acl)']"
